Feature ID	Taxon	Consensus
2925d6465330a505274a0a4397799fa1	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Caulobacterales; D_4__Hyphomonadaceae; D_5__SWB02; D_6__uncultured bacterium	0.7
e07377d551efede0bb9966f479f9f4d3	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Nitrosomonadaceae; D_5__MND1; D_6__uncultured bacterium	0.6
bfd43cbea63e7db0e129f236a0adf1d5	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__uncultured	0.8
ed61801537d6099a3b31c957989a68c3	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Streptosporangiales; D_4__Thermomonosporaceae; D_5__Actinomadura	1.0
9aae573635711a6801e380c0472e9430	D_0__Bacteria; D_1__Acidobacteria; D_2__Subgroup 6; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium	0.7
34ac679cc95355d1217b899f3abd451f	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Micrococcales; D_4__Microbacteriaceae	1.0
68699664d7838ce056957f51a44859dd	D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia; D_3__Solirubrobacterales; D_4__67-14; D_5__uncultured bacterium; D_6__uncultured bacterium	0.6
c1d117e6b5f1e89d81695bdf69dbb7fc	D_0__Bacteria; D_1__Chloroflexi; D_2__Dehalococcoidia; D_3__S085	1.0
3db4c3f0a4e60a048ec5c2fafcf1264c	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Chitinophagales; D_4__Saprospiraceae; D_5__uncultured; D_6__uncultured bacterium	0.6
6b2e054f0921037a6bbf2769bccefff2	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Cytophagales; D_4__Microscillaceae; D_5__uncultured; D_6__uncultured bacterium	0.8
24d821dddfbe031b81a44817e6d6a4c1	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Enterobacter	0.6
b2f1d52878e8f4dfb52b728e25af9c3e	D_0__Bacteria; D_1__Chloroflexi; D_2__KD4-96; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium	0.7
7292f30d18e7284ce2e5251087777a49	D_0__Bacteria; D_1__Acidobacteria; D_2__Subgroup 6	1.0
29b9b0c2d3a36ff404bfba4cb63aca1e	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Micrococcales; D_4__Intrasporangiaceae; D_5__Janibacter	0.6
6d93d7336d5d46e004baa4a19e781b54	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Sphingomonadales; D_4__Sphingomonadaceae; D_5__uncultured	0.8
25eb30e373ab65d7a452b7855abc04b5	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Chitinophagales; D_4__Chitinophagaceae; D_5__Flavitalea; D_6__uncultured bacterium	0.7
1e85800827b96f25e5a77d0d5561770a	D_0__Bacteria; D_1__Epsilonbacteraeota; D_2__Campylobacteria; D_3__Campylobacterales; D_4__Arcobacteraceae; D_5__Arcobacter; D_6__uncultured bacterium	0.6
d4075485a47a560ce7620a5f25041754	D_0__Bacteria; D_1__Patescibacteria; D_2__Saccharimonadia; D_3__Saccharimonadales; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium	0.7
