OTU ID,1,2,3,4,5,6,7
d__Bacteria; p__Armatimonadetes; c__Fimbriimonadia; o__Fimbriimonadales; f__Fimbriimonadaceae,50.5,55.75,51.75,53.25,50.5,11.75,5.5
d__Bacteria; p__Armatimonadetes; c__Fimbriimonadia; o__Fimbriimonadales; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Armatimonadetes; c__Fimbriimonadia; o__Fimbriimonadales; f__uncultured organism,0.0,0.0,0.0,0.0,0.75,0.0,0.0
d__Bacteria; p__Armatimonadetes; c__uncultured; o__uncultured bacterium; f__uncultured bacterium,1.8333333333333333,1.0,1.75,0.0,1.75,0.0,0.0
d__Bacteria; p__BRC1; c__uncultured bacterium; o__uncultured bacterium; f__uncultured bacterium,5.833333333333333,4.5,8.0,12.25,3.25,0.5,0.0
d__Bacteria; p__BRC1; c__uncultured organism; o__uncultured organism; f__uncultured organism,0.0,0.0,1.75,4.25,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae,0.0,96.0,1.25,12.5,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Marinilabiliaceae,1.5,0.0,0.0,12.75,0.0,1.25,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidetes VC2.1 Bac22; f__uncultured bacterium,0.0,0.0,0.0,0.0,1.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__37-13,17.5,10.5,33.25,27.25,15.25,2.75,1.25
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae,599.8333333333334,465.0,574.0,342.75,493.25,221.25,170.5
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae,99.83333333333334,62.5,144.25,75.75,47.25,18.0,20.75
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__uncultured,4.5,7.5,18.75,11.75,13.25,2.5,1.25
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Amoebophilaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae,0.0,3.25,1.0,6.25,0.0,0.0,1.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Cytophagaceae,8.333333333333334,9.75,8.5,2.0,1.0,0.0,4.5
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae,31.5,14.5,13.0,7.5,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__MWH-CFBk5,25.833333333333332,1.5,0.0,1.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Microscillaceae,557.8333333333333,602.0,930.5,492.0,357.0,114.0,134.5
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae,16.0,16.25,18.25,2.25,19.25,23.0,11.75
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Blattabacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae,40.0,29.0,14.0,10.25,15.25,7.5,8.5
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Cryomorphaceae,5.833333333333333,5.25,23.25,3.75,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae,330.16666666666663,283.0,97.0,36.75,56.5,54.5,86.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__NS9 marine group,11.5,15.25,41.0,10.75,35.5,5.75,24.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae,5.166666666666666,6.0,54.5,59.0,9.25,13.25,9.5
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__SM1A07; f__uncultured bacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__SM1A07; f__uncultured organism,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__AKYH767,35.5,27.0,241.5,118.0,65.5,15.0,6.75
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__KD3-93,106.0,68.25,88.75,47.75,12.25,1.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__Lentimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__LiUU-11-161,0.0,0.0,1.0,0.0,0.0,0.0,0.0
d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Sphingobacteriales; f__NS11-12 marine group,24.0,24.25,56.5,23.0,18.5,0.5,1.75
