OTU ID,1,2,3,4,5,6,7
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured Rhodospirillaceae bacterium,28.0,22.25,42.25,43.25,36.25,19.5,11.75
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Amb-16S-1323,43.0,31.75,59.25,34.75,25.5,4.25,0.0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Rhodocyclaceae,23.166666666666664,21.0,15.0,21.25,89.5,10.25,18.0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria,60.0,34.25,21.75,4.75,76.0,0.5,0.0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae,27.0,27.5,43.0,39.25,39.0,7.25,11.25
d__Bacteria; p__Chlamydiae; c__Chlamydiae; o__Chlamydiales; f__Simkaniaceae,20.166666666666668,30.5,56.0,31.0,41.75,6.0,7.75
d__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__uncultured bacterium; f__uncultured bacterium,13.166666666666666,14.25,36.5,30.0,64.25,24.25,8.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae,62.833333333333336,37.0,44.5,19.25,21.75,5.0,0.0
d__Bacteria; p__Spirochaetes; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae,31.666666666666668,39.0,83.0,18.75,10.5,3.5,0.5
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Streptosporangiales; f__Thermomonosporaceae,21.0,31.0,47.75,48.0,23.25,9.75,4.25
d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__uncultured bacterium,16.5,10.75,51.0,45.5,46.5,8.0,3.25
d__Bacteria; p__Chloroflexi; c__TK10; o__uncultured bacterium; f__uncultured bacterium,21.833333333333336,7.25,34.5,40.5,52.75,17.75,2.25
d__Bacteria; p__Gemmatimonadetes; c__Longimicrobia; o__Longimicrobiales; f__Longimicrobiaceae,33.83333333333333,33.0,40.0,30.0,21.75,9.25,8.0
d__Bacteria; p__Planctomycetes; c__Pla4 lineage; o__uncultured bacterium; f__uncultured bacterium,6.333333333333332,4.75,46.75,76.25,41.25,0.0,0.0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae,37.66666666666667,57.25,34.5,14.75,20.0,2.5,7.0
d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Brevibacteriaceae,35.49999999999999,33.0,38.0,29.0,23.0,7.5,3.0
