SampleID,k__Bacteria|Other|Other,k__Bacteria|p__Actinobacteria|Other,k__Bacteria|p__Actinobacteria|c__Actinobacteria,k__Bacteria|p__Actinobacteria|c__Coriobacteriia,k__Bacteria|p__Actinobacteria|c__Thermoleophilia,k__Bacteria|p__Bacteroidetes|Other,k__Bacteria|p__Bacteroidetes|c__,k__Bacteria|p__Bacteroidetes|c__Bacteroidia,k__Bacteria|p__Bacteroidetes|c__Cytophagia,k__Bacteria|p__Bacteroidetes|c__Flavobacteriia,k__Bacteria|p__Cyanobacteria|c__4C0d-2,k__Bacteria|p__Cyanobacteria|c__Chloroplast,k__Bacteria|p__Cyanobacteria|c__Nostocophycideae,k__Bacteria|p__Firmicutes|Other,k__Bacteria|p__Firmicutes|c__Bacilli,k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Erysipelotrichi,k__Bacteria|p__Fusobacteria|c__Fusobacteriia,k__Bacteria|p__Gemmatimonadetes|c__Gemm-1,k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria],k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,k__Bacteria|p__Spirochaetes|c__[Brachyspirae],k__Bacteria|p__Synergistetes|c__Synergistia,k__Bacteria|p__TM7|c__TM7-3,k__Bacteria|p__Tenericutes|c__Mollicutes,k__Bacteria|p__Tenericutes|c__RF3,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,k__Bacteria|p__WPS-2|c__,k__Bacteria|p__[Thermi]|c__Deinococci
A160TG7Z.03,0.000141456,0,0.1261788,0.003725009,0,0,0,0.009430404,0,0,0,0,0,3.14E-05,0.014302779,0.815054068,0.000172891,1.57E-05,0,0,0,6.29E-05,0,3.14E-05,0.030853137,0,0,0,0,0,0,0,0
G160V9R6.03,0.0003051,0,0.011448496,0.041464478,0,0,0,0.187926776,0,0,0,0,0,0,0.037716112,0.64745024,0.001423798,0.007656545,0,0,0,0.001423798,0,0.000493971,0.062690687,0,0,0,0,0,0,0,0
B160V5P5.03,0.000520118,0,0.080035784,0.006366246,0,0,0,0.034951941,0,0,0,0,0,0.000166438,0.025589814,0.745474972,0.000957017,0,0,0,0,0,0,4.16E-05,0.10589606,0,0,0,0,0,0,0,0
E160VWM4.03,4.23E-05,0,0.282808648,0.000112684,0,0,0,0.020438059,0,0,0,0,0,8.45E-05,0.006422988,0.568349884,0.000183111,1.41E-05,0,0,0,0,0,0.003281921,0.118247764,0,0,1.41E-05,0,0,0,0,0
C160V4Y2.03,0,0,0.156571408,0.000524194,0,0,0,0.065976176,0,0,0,0,0,1.81E-05,0.026950816,0.727726262,0.000307286,1.81E-05,0,0,0,3.62E-05,0,0.004067025,0.017786454,0,1.81E-05,0,0,0,0,0,0
A160TWGJ.03,2.69E-05,0,0.052052254,0.007459076,0,0,0,0.002204123,0,0,0,0,0,0,0.017377631,0.870400237,0.001330538,9.41E-05,0,0,0,0,0,1.34E-05,0.049041744,0,0,0,0,0,0,0,0
B160TXGX.03,1.43E-05,0,0.225477307,0.002400823,0,0,0,0.042500286,0,0,0,0,0,0.000185778,0.018677832,0.68807877,0.000100034,0,0,0,0,0,0,0.004815937,0.016505659,0,0,1.43E-05,0,0,0.001228993,0,0
F160T384.03,0.000300608,0,0.178004315,0.003456995,0,0,0,0.300723228,0,0,0,0,0,8.84E-06,0.006516127,0.478975103,0.000106097,0,0,0,8.84E-06,0,0,0.02888492,0.003014924,0,0,0,0,0,0,0,0
F160WLV9.03,5.69E-05,0,0.091570925,0.003071323,0,0,0,0.20293482,0,0,0,0,0,3.79E-05,0.001289197,0.631005195,0.00062564,0,0,0,0,0.023679521,0.005043036,0,0.02743336,0,0.01325219,0,0,0,0,0,0
E160TPM2.03,0.000250028,0,0.02828092,0.00515335,0,0,0,0.007292477,0,0,0,0,0,1.39E-05,0.00481998,0.871444049,0.000472275,0.000194466,0,0,0,4.17E-05,0,2.78E-05,0.082009112,0,0,0,0,0,0,0,0
