,Experiments,Time,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae
88,exp_0,0.0.88,13606.0,8397.0,4962.0,4289.0,901.0,393.0,49.0,141.0,341.0,286.0,413.0,30.0,8.0,81.0,11.0
89,exp_0,0.0.89,18067.0,3810.0,5356.0,1689.0,970.0,634.0,0.0,235.0,131.0,131.0,144.0,7.0,1.0,6.0,38.0
90,exp_0,0.0.90,21671.0,7662.0,1419.0,4029.0,923.0,405.0,68.0,219.0,390.0,322.0,161.0,153.0,15.0,56.0,26.0
91,exp_0,0.0.91,21477.0,5832.0,5636.0,1759.0,976.0,662.0,3.0,301.0,465.0,163.0,174.0,18.0,1.0,27.0,38.0
92,exp_0,0.0.92,19589.0,7610.0,3029.0,4102.0,444.0,601.0,37.0,126.0,527.0,297.0,217.0,45.0,17.0,96.0,31.0
93,exp_0,0.0.93,21428.0,7109.0,504.0,3736.0,1165.0,478.0,0.0,208.0,191.0,174.0,262.0,0.0,1.0,16.0,47.0
94,exp_0,0.0.94,24381.0,7809.0,6900.0,3144.0,1556.0,407.0,59.0,125.0,418.0,325.0,294.0,2827.0,149.0,37.0,31.0
95,exp_0,0.0.95,21591.0,8707.0,2867.0,3846.0,1551.0,904.0,0.0,335.0,143.0,205.0,267.0,11.0,3.0,7.0,31.0
96,exp_0,0.0.96,19395.0,5537.0,4037.0,2366.0,1575.0,785.0,12.0,614.0,243.0,194.0,133.0,4.0,0.0,28.0,41.0
97,exp_0,0.0.97,28874.0,6945.0,1937.0,3596.0,1460.0,577.0,3.0,1086.0,246.0,175.0,191.0,3.0,1.0,20.0,30.0
98,exp_0,0.0.98,21254.0,6351.0,2479.0,2992.0,1051.0,536.0,1331.0,275.0,555.0,188.0,112.0,13.0,63.0,97.0,38.0
99,exp_0,0.0.99,14823.0,11834.0,2172.0,3728.0,632.0,279.0,114.0,343.0,847.0,432.0,259.0,1218.0,34.0,33.0,11.0
