,Experiments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
136,PC-BV-BF-BO-BC-DP-BL-EL-CH-BH-CG-RI,0.0,0.00055,0.0,0.00055,0.00055,0.00055,0.0,0.00055,0.0,0.0,0.00055,0.00055,0.0,0.0,0.0,0.00055,0.0,0.00055,0.0,0.00055,0.00055,0.0,0.00055,0.0,0.0,0.0,0.0,0.0,28.0,0.0
137,PC-BV-BF-BO-BC-DP-BL-EL-CH-BH-CG-RI,16.0,0.3709779682108716,0.0,0.0218045421121104,0.2721808360201369,0.2682710560552067,0.0,0.5506774704451609,0.0,0.0,0.0117293398947904,0.0906768199558798,0.0,0.0,0.0,0.0016541376774704,0.0,0.1279701057752135,0.0,0.0016541376774704,0.0490226257141241,0.0,0.0030075230499462,0.0,0.0,0.0,1.27063736,53.08532572,39.32979007,26.75868703
138,PC-BV-BF-BO-BC-DP-BL-EL-CH-BH-CG-RI,32.0,0.3709610552202101,0.0,0.0213486250838363,0.1776756539235412,0.2626110440420299,0.0,0.4866568298680975,0.0,0.0,0.0084935390118488,0.0282352783366867,0.0,0.0,0.0,0.0027546613011401,0.0,0.2938305387882852,0.0,0.0025251061927118,0.0532567851553767,0.0,0.0027546613011401,0.0,0.0,0.0,1.25717616,55.16469224,37.52224468,29.42929471
139,PC-BV-BF-BO-BC-DP-BL-EL-CH-BH-CG-RI,48.0,0.2807772349056883,0.0,0.0136846702792336,0.2228186313701104,0.3469466406088063,0.0,0.5865088685558615,0.0,0.0,0.0059568564744899,0.022056468567706,0.0,0.0,0.0,0.0024149418139824,0.0,0.2625846732403541,0.0,0.0017709573302537,0.061178525954221,0.0,0.003058926297711,0.0,0.0,0.0,1.34362568,52.12638488,40.52766374,34.79907913
140,PC-BV-BF-BO-CA-EL-FP-CH-AC-BH-ER,0.0,0.0006,0.0,0.0006,0.0006,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
141,PC-BV-BF-BO-CA-EL-FP-CH-AC-BH-ER,16.0,1.0675425247738044,0.0,0.0499743501364354,0.4655901766479965,0.4251586672411316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519833692373976,0.0010045095504811,0.0017578917133419,0.1850808846761453,0.2807604193594715,0.0007533821628608,0.0,0.3824670113456844,0.0,0.0,0.0,0.0,30.25104168,25.53095936,6.55218864,32.70966973
142,PC-BV-BF-BO-CA-EL-FP-CH-AC-BH-ER,32.0,0.5084273582044282,0.0,0.019241183445005,0.3145515206661702,0.3643276256652052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309237047453607,0.002300576281468,0.0027188628780985,0.2965651970110568,0.5833006590012958,0.000836573193261,0.0,0.3036760691537761,0.0,0.0,0.0,0.0,35.23263176,35.93382804,2.35295465,37.36627571
143,PC-BV-BF-BO-CA-EL-FP-CH-AC-BH-ER,48.0,0.384194989377259,0.0,0.0122391634246613,0.2772935463399829,0.3499635791739094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1265988466738404,0.0019123692851033,0.0007649477140413,0.2799708633391276,0.6440859752228016,0.0009561846425516,0.0,0.2300580249979306,0.0,0.0,0.0,0.0,33.34001624,28.31363164,4.67256537,38.54482672
144,PJ-BV-BY-BA-EL-FP-CH-BH-ER-DL-DF,0.0,0.0,0.0006,0.0006,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.0,0.0,0.0006,0.0006,0.0006,0.0,0.0006,0.0,0.0006,0.0,0.0,0.0006,0.0006,0.0,0.0,28.0,0.0
145,PJ-BV-BY-BA-EL-FP-CH-BH-ER-DL-DF,16.0,0.0,0.016658687235866,0.0369053994148417,0.0,0.0,0.0,0.0,0.1992635280905517,0.0,0.0,0.0,0.1904216094807459,0.0,0.0,0.0014095812276502,0.0007688624878092,0.2252767089280964,0.0,0.002562874959364,0.0,0.233990483789934,0.0,0.0,0.3467569820019505,0.1896527469929367,2.52886536,55.30946360000001,45.11048947,11.92328463
146,PJ-BV-BY-BA-EL-FP-CH-BH-ER-DL-DF,32.0,0.0,0.0240303518667741,0.072753961858716,0.0,0.0,0.0,0.0,0.2567104485629868,0.0,0.0,0.0,0.1695382755842062,0.0,0.0,0.0031488047273704,0.0004971796937953,0.1958887993553585,0.0,0.0024858984689766,0.0,0.2586991673381681,0.0,0.0,0.4444786462530218,0.2167703464947623,4.44107992,63.91845028,46.82584136,13.4973765
147,PJ-BV-BY-BA-EL-FP-CH-BH-ER-DL-DF,48.0,0.0,0.019761815054468,0.0257391541758811,0.0,0.0,0.0,0.0,0.3055762142681628,0.0,0.0,0.0,0.0646528517214077,0.0,0.0,0.0053674065580036,0.0008539055887733,0.2133544106806454,0.0,0.0017078111775466,0.0,0.310333688262757,0.0,0.0,0.2549518115051737,0.28679029131515,6.31640904,47.64077368,36.45518561,13.3952095
148,PJ-BV-BF-BU-DP-BL-BA-EL-RI-DL-DF,0.0,0.0,0.0006,0.0006,0.0006,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0006,0.0006,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0006,0.0006,0.0,0.0,28.0,0.0
149,PJ-BV-BF-BU-DP-BL-BA-EL-RI-DL-DF,16.0,0.0,0.0193258895843906,0.0495889584390683,0.2913749506569672,0.0,0.0,0.0,0.0,0.1086284892573168,0.0090258275531494,0.017733096486776,0.3279030056955957,0.0,0.0,0.0025484689561833,0.0,0.0,0.0,0.0,0.0,0.0,0.003822703434275,0.0,0.271624316246546,0.1528019511644955,0.44615784,51.71203872,47.41433269,9.2209524
150,PJ-BV-BF-BU-DP-BL-BA-EL-RI-DL-DF,32.0,0.0,0.0418611028512901,0.0413724518452439,0.4244748405854561,0.0,0.0,0.0,0.0,0.1252575412165064,0.0153110648561139,0.0263871543264942,0.2713641920243169,0.0,0.0,0.0073297650906928,0.0,0.0,0.0,0.0,0.0,0.0,0.0058638120725542,0.0,0.3962959659034591,0.287326791555159,1.02643776,53.90689452,46.95288660000001,10.34284408
151,PJ-BV-BF-BU-DP-BL-BA-EL-RI-DL-DF,48.0,0.0,0.0258073997233748,0.0375300829875518,0.3767880359612724,0.0,0.0,0.0,0.0,0.0897572614107883,0.0063862378976486,0.0146970954356846,0.1040169432918395,0.0,0.0,0.0045491009681881,0.0,0.0,0.0,0.0,0.0,0.0,0.002274550484094,0.0,0.1398848547717842,0.2945542876901798,1.17102448,51.71130588,50.24453587,12.27343092
